Fault_Index,Latitude,Longitude,Depth
37,344355.2122,1161117.489,6978.315984
37,344355.2122,1161117.489,6978.315984
37,344355.2122,1161117.489,6978.315984
37,344355.2122,1161117.489,6978.315984
38,343897.05,1168323.584,6571.132096
38,344316.8144,1168323.584,6767.456045
38,343897.05,1168975.797,6669.05872
38,344316.8144,1168975.797,6865.382669
39,343440.468,1169799.388,6521.767448
39,343983.2999,1169799.388,7247.251322
39,343440.468,1170035.07,6144.684198
39,343983.2999,1170035.07,6870.168072
40,343147.038,1169049.086,6680.549846
40,343666.2129,1169049.086,6578.035098
40,343147.038,1169352.627,6702.003749
40,343666.2129,1169352.627,6599.489002
41,344126.9456,1165006.808,6372.615566
41,344214.6638,1165006.808,6462.703485
41,344126.9456,1165453.063,6581.743127
41,344214.6638,1165453.063,6671.831045
42,344284.7958,1160818.725,6860.815101
42,344411.19,1160818.725,7000.851368
42,344284.7958,1161069.325,6941.152657
42,344411.19,1161069.325,7081.188924
43,343641.7773,1167858.567,6458.793152
43,343859.6494,1167858.567,6668.55853
43,343641.7773,1168190.97,6671.856082
43,343859.6494,1168190.97,6881.62146
44,341586.0561,1170988.38,6335.880957
44,341586.0561,1170988.38,6335.880957
44,341586.0561,1170988.38,6335.880957
44,341586.0561,1170988.38,6335.880957
45,344200.786,1160699.858,7006.490408
45,344568.3411,1160699.858,6940.305141
45,344200.786,1161332.385,6914.37315
45,344568.3411,1161332.385,6848.187882
46,343242.055,1168627.416,6623.305713
46,343674.2423,1168627.416,6729.807162
46,343242.055,1169215.727,6546.778235
46,343674.2423,1169215.727,6653.279684
47,344788.761,1168833.214,6690.624196
47,344788.761,1168833.214,6690.624196
47,344788.761,1168833.214,6690.624196
47,344788.761,1168833.214,6690.624196
48,344284.16,1161012.828,7153.055427
48,344562.9469,1161012.828,7264.038279
48,344284.16,1161303.836,6859.309269
48,344562.9469,1161303.836,6970.292121
49,344340.8252,1165247.517,6502.81676
49,344340.8252,1165247.517,6502.81676
49,344340.8252,1165247.517,6502.81676
49,344340.8252,1165247.517,6502.81676
50,343948.6977,1168087.058,6745.833684
50,344011.3599,1168087.058,6820.02591
50,343948.6977,1168762.658,6755.84951
50,344011.3599,1168762.658,6830.041737
51,344442.2942,1165033.197,6672.643607
51,344829.0152,1165033.197,6690.034299
51,344442.2942,1165724.925,6663.916148
51,344829.0152,1165724.925,6681.30684
52,343034.9218,1169696.985,6866.056487
52,343466.2919,1169696.985,6809.124276
52,343034.9218,1170189.843,6798.737578
52,343466.2919,1170189.843,6741.805367
53,343859.7083,1168459.34,6397.967476
53,343859.7083,1168459.34,6397.967476
53,343859.7083,1168459.34,6397.967476
53,343859.7083,1168459.34,6397.967476
54,344293.8025,1160433.786,7002.463184
54,344664.1769,1160433.786,6965.420523
54,344293.8025,1161039.555,6918.46175
54,344664.1769,1161039.555,6881.419089
55,343311.3362,1169143.971,6697.409134
