Longitude,Latitude,Depth,date,time
9.28070457279683E-01,2.00813196897507E+00,-2.1600535511971E+00,6/22/12,0.033339798
9.13189607858658E-01,1.98456629216671E+00,-1.92023305296898E+00,6/22/12,0.0759211
9.26725989580155E-01,2.00637916326523E+00,-2.07187550663948E+00,6/22/12,0.123258699
9.10772049427033E-01,2.00116772949696E+00,-1.95237139463425E+00,6/23/12,0.0005107
9.51970294117927E-01,2.00648735761643E+00,-1.99448232352734E+00,6/23/12,0.0804152
1.10478861331940E+00,2.00659326314926E+00,-2.05425065159798E+00,6/23/12,0.1247545
9.19970329105854E-01,2.00691369771958E+00,-1.85246820449829E+00,6/23/12,0.161133099
1.10441181659698E+00,2.00196228325367E+00,-2.05228994488716E+00,6/23/12,0.162155401
9.06674371659755E-01,1.99817967712879E+00,-2.06257035732270E+00,6/23/12,0.163847499
9.25102716684342E-01,2.00762964487076E+00,-1.95526323914528E+00,6/23/12,0.1650135
9.09248124063015E-01,2.00730737447739E+00,-2.01321104168892E+00,6/23/12,0.201528098
9.25806242227555E-01,2.00238676369190E+00,-2.11900358200073E+00,6/23/12,0.220919501
9.0738273710012E-01,2.00903050899506E+00,-1.85417776107788E+00,6/24/12,0.015335299
9.17685157060624E-01,2.00285459756852E+00,-1.93545265793801E+00,6/24/12,0.020054098
9.17821842432023E-01,2.00484236478806E+00,-1.94333065748215E+00,6/24/12,0.030307502
1.10358772277832E+00,1.98368024826049E+00,-2.08695206642151E+00,6/24/12,0.030330501
9.30738240480423E-01,2.01154615879059E+00,-1.93640182316304E+00,6/24/12,0.044943798
9.24088579416275E-01,2.00830625295639E+00,-2.06196616888046E+00,6/24/12,0.0506
9.681121468544E-01,1.96169973611831E+00,-2.05141801834106E+00,6/24/12,0.070453599
8.97990858554840E-01,2.00064873993397E+00,-1.88903207778931E+00,6/24/12,0.070720199
9.07753573358059E-01,2.00091715157032E+00,-2.16292088627815E+00,6/24/12,0.0731587
1.105140376091E+00,2.00104551613331E+00,-2.11808938980103E+00,6/24/12,0.073220499
9.09724670648575E-01,1.99754413366318E+00,-1.90444839894772E+00,6/24/12,0.0733223
9.22148090600968E-01,1.98892980515957E+00,-2.12841212749481E+00,6/24/12,0.074251998
9.05647641420365E-01,1.99710043668747E+00,-2.02072567343712E+00,6/24/12,0.0746083
9.28698927164078E-01,2.00658329725266E+00,-1.90993525385857E+00,6/24/12,0.075205799
9.13195472955704E-01,2.00103913545609E+00,-2.04206472039223E+00,6/24/12,0.0754213
9.14823800325394E-01,2.00238546133042E+00,-1.95534531474114E+00,6/24/12,0.075740501
9.00186258554459E-01,1.99354919195176E+00,-2.07794907689095E+00,6/24/12,0.0801543
1.08880198001861E+00,1.98241353929043E+00,-2.18961958885193E+00,6/24/12,0.082006
1.04722316265107E+00,1.01731022000313E+00,-2.09147109985352E+00,6/24/12,0.082211301
9.20738679170609E-01,2.00632866621018E+00,-1.93979880511761E+00,6/24/12,0.082256399
7.24316777288914E-01,1.79481155872345E+00,-1.85787466764450E+00,6/24/12,0.095807798
9.1682260632515E-01,1.79765975475311E+00,-1.90557414293289E+00,6/24/12,0.100048698
1.11792443990707E+00,1.45924687385559E+00,-1.96725010871887E+00,6/24/12,0.1003391
9.17504698038102E-01,1.99488034546375E+00,-1.85102392435074E+00,6/24/12,0.1012142
9.15394812822342E-01,2.00058208703995E+00,-1.90834377408028E+00,6/24/12,0.1048343
9.03702269494533E-01,2.00620728731156E+00,-1.8932620048523E+00,6/24/12,0.113132901
9.18693643808365E-01,2.00531033277512E+00,-2.07539442181587E+00,6/24/12,0.120730899
8.07178884744645E-01,1.9180166721344E+00,-2.05385923385620E+00,6/24/12,0.121954501
9.07234340906144E-01,1.99977425336838E+00,-2.08227712213993E+00,6/24/12,0.134415299
9.06979471445084E-01,1.99459591209888E+00,-1.85349254608154E+00,6/24/12,0.134631
9.08638697862626E-01,2.00081576108933E+00,-2.08504430055618E+00,6/24/12,0.1413351
9.14994889497757E-01,2.00187064409256E+00,-1.84466898739338E+00,6/24/12,0.144829798
9.11529405415058E-01,2.00336245298386E+00,-1.84874633550644E+00,6/24/12,0.151200902
9.29778796434403E-01,2.00266797840595E+00,-2.08827620148659E+00,6/24/12,0.151202399
8.24377307295799E-01,1.9140855550766E+00,-1.97698771953583E+00,6/24/12,0.151442401
9.11625462770463E-01,1.79574174880982E+00,-2.00540041327476E+00,6/24/12,0.1517216
9.13162761926651E-01,2.00037974119187E+00,-1.90408847928047E+00,6/24/12,0.152601
7.92250472307206E-01,1.92765244245529E+00,-2.03734363317490E+00,6/24/12,0.152951799
8.87824593484401E-01,1.99839521646500E+00,-1.90800533294677E+00,6/24/12,0.153312098
9.95679235458375E-01,1.96580839157104E+00,-2.09146580696106E+00,6/24/12,0.154950298
1.09242336750030E+00,2.00585244894028E+00,-1.95655688643455E+00,6/24/12,0.160225201
9.02237832546234E-01,2.00768288373947E+00,-1.93984360098839E+00,6/24/12,0.160732601
1.12641884088516E+00,1.06707125157118E+00,-2.20421695709229E+00,6/24/12,0.161357101
1.01479133367538E+00,2.02985271215439E+00,-1.97882711589337E+00,6/24/12,0.1616069
1.11025009155273E+00,1.98994391858578E+00,-1.95212145447731E+00,6/24/12,0.161638301
9.41127961874009E-01,2.02535411119461E+00,-2.06067467927933E+00,6/24/12,0.161641698
9.02699647843837E-01,2.00573574304581E+00,-2.00058215856552E+00,6/24/12,0.161725201
9.22603160142899E-01,2.00174970924854E+00,-1.86464698314667E+00,6/24/12,0.162424698
9.28027898073197E-01,2.00673521757126E+00,-1.9915202319622E+00,6/24/12,0.162503801
9.23695784807206E-01,2.00605787038803E+00,-1.96993256211281E+00,6/24/12,0.164313
9.18286043405533E-01,2.00345109999180E+00,-1.85443987846374E+00,6/24/12,0.164323699
9.00124108791352E-01,1.98599462509155E+00,-2.05298843383789E+00,6/24/12,0.164334301
9.27995546162129E-01,1.95564613640308E+00,-1.87490428686142E+00,6/24/12,0.164446399
8.76232409477234E-01,1.93656667470932E+00,-1.99715691804886E+00,6/24/12,0.164528601
9.01055228710175E-01,1.99098318517208E+00,-1.87582631111145E+00,6/24/12,0.165532801
9.1863837838173E-01,2.00510991811753E+00,-1.98016346096992E+00,6/24/12,0.165745798
8.76121509075165E-01,1.99053848087788E+00,-1.91749083995819E+00,6/24/12,0.1706139
1.25416662395001E+00,1.71506217718124E+00,-1.82808330059051E+00,6/24/12,0.1710237
1.35755552053451E+00,1.59923221170903E+00,-1.82086508274078E+00,6/24/12,0.1711381
9.85999178886414E-01,2.04984856843948E+00,-2.01325182914734E+00,6/24/12,0.171200301
8.97961008548737E-01,2.00921914577484E+00,-2.03377794027329E+00,6/24/12,0.171208002
9.43582409620285E-01,2.03202507495880E+00,-1.98809331655502E+00,6/24/12,0.171321101
1.12535170316696E+00,2.01132304668427E+00,-2.02144544720650E+00,6/24/12,0.171339702
9.26103049516678E-01,2.00677145719529E+00,-2.09381784796714E+00,6/24/12,0.171520598
1.33770036995411E+00,9.68767023086549E-01,-1.81576117277145E+00,6/24/12,0.172346499
8.91687232255936E-01,1.61446361243725E+00,-1.91608052849769E+00,6/24/12,0.1727135
9.12279041111469E-01,2.00368176698685E+00,-2.07414473891258E+00,6/24/12,0.1729398
7.87404304742814E-01,1.90673439502716E+00,-2.03037376403809E+00,6/24/12,0.173145
1.25565117597580E+00,1.51795358359814E+00,-1.82401306629181E+00,6/24/12,0.1733016
9.333262860775E-01,1.93676861524582E+00,-2.02831445932388E+00,6/24/12,0.174208399
1.01763802170753E+00,2.08762238621712E+00,-2.11772931814194E+00,6/24/12,0.174617998
7.35621511936187E-01,1.80011582374573E+00,-2.05075335502624E+00,6/24/12,0.1746183
8.74808338284492E-01,1.93019944429398E+00,-2.01192967891693E+00,6/24/12,0.174805399
7.11119502782822E-01,1.70882843732834E+00,-2.05960404872894E+00,6/24/12,0.174902901
9.72547864913941E-01,1.55412637889385E+00,-1.95856363773346E+00,6/24/12,0.1750574
9.13124543428421E-01,2.00256985425949E+00,-1.96840234100819E+00,6/24/12,0.1751027
9.40284031629563E-01,2.00392969846726E+00,-1.97181776762009E+00,6/24/12,0.175120801
8.96626317501068E-01,1.90844592452050E+00,-1.82246315479278E+00,6/24/12,0.175655901
8.98588597774506E-01,1.98970426023006E+00,-1.88651908636093E+00,6/24/12,0.180236399
1.24563952684402E+00,1.58836526572704E+00,-1.82009785175323E+00,6/24/12,0.180339701
8.88160453736782E-01,1.99799696207047E+00,-2.07260339856148E+00,6/24/12,0.1809135
7.56059563159942E-01,1.81021367311478E+00,-1.98643274009227E+00,6/24/12,0.180942498
7.63379526138306E-01,1.84594844579696E+00,-1.96618499457836E+00,6/24/12,0.1814082
9.01511436700821E-01,1.99421890974045E+00,-1.98933733403683E+00,6/24/12,0.181849901
7.36704862117767E-01,1.82685462236404E+00,-1.86032480895519E+00,6/24/12,0.182553101
9.21483141183854E-01,1.97599191665649E+00,-2.0499302864075E+00,6/24/12,0.183647599
7.21073949337005E-01,1.79146723747254E+00,-2.03954369425774E+00,6/24/12,0.184102502
9.34640970826149E-01,1.92177835702896E+00,-1.97431385517120E+00,6/24/12,0.1841438
1.72065609693527E+00,9.93830680847169E-01,-2.10518252253532E+00,6/24/12,0.1850117
9.96755051612855E-01,1.96555786132812E+00,-2.00819503068924E+00,6/24/12,0.185143899
9.56957954168320E-01,1.74252505302429E+00,-2.04378207921982E+00,6/24/12,0.1938022
7.55511856079102E-01,1.9109530210495E+00,-2.03016499280930E+00,6/24/12,0.195656698
1.17787247896195E+00,1.49817314147949E+00,-2.02451168894768E+00,6/24/12,0.2024143
8.68659210205079E-01,1.91910763978958E+00,-1.96704903841018E+00,6/24/12,0.214744799
8.45576280355454E-01,1.95146842002869E+00,-2.05280647277832E+00,6/24/12,0.215654101
